,title,lyrics
306,What A Nice Way To Turn 17, birthday candles. have all gone out. . the party's through. and i'm alone with you. woah what a nice way to turn seventeen. . i feel your sweet lips. against my cheek. the lights are off. your shoulder feels so soft. what a nice way to turn seventeen. . my friends all bought me. so many gifts. but yours is the one i'm proudest of. a golden heart. inscribed to me. happy birthday with all my love. . it feels like heaven. here in your arms. don't let me go. 'cause gee i love oh i love you so. what a nice way to turn seventeen. . i'm seventeen
307,Lost at 17,ll. i've wasted so much time i've heard the birds fly south. and back before my eyes could take a look.... and my head's stuck between the notes and not the numbers. and i slumber to the thought of reading books. . i just wanna sit beneath. all her comfort and belief. because the moon's got claws. and i don't wanna go to sleep. she'll always be my excuse. for a neverending use. of helping me sit down. to find my thoughts in the lost and found. 'cause the moon's got claws. and she's got me in her reach. . well it was friday. and i planned out what to do. i was to get myself ahead. and not look back.... now it's sunday and i didn't do. jack shit... i sat around and. just felt sorry for myself. . i just wanna sit beneath. all her comfort and belief. because the moon's got claws. and i don't wanna go to sleep. she'll always be my excuse. for a neverending use. of helping me sit down. to find my thoughts in the lost and found. 'cause the moon's got claws. and she's got me in her reach. all day and night when i can't sleep.... . 'cause i'm lost at seventeen. already tired of being tired. there's a line for fools like me. but their brainstyle is required. and that line won't catch me tipping. 'cause the moon keeps me from slipping out of reach. . 'cause the moon's got claws. and she's got me in her reach. all day and night when i can't sleep.... . 'cause i'm lost at seventeen. already tired of being tired. there's a line for fools like me. but their brainstyle is required. and that line won't catch me tipping. 'cause the moon keeps me from slipping out. . i'm lost at seventeen. already tired of being tired. there's a line for fools like me. but their brainstyle is required. and that line won't catch me tipping. 'cause the moon keeps me from slipping out of reach
308,Baby Came Home 2 / Valentines,. . she was fivefoot four with some money on the floor. and a box that's hidden under her bed. i was only twentytwo with a pocket full of truth. but i gave her everything that i had. we were born and raised in the golden state. mommy's gone and daddy's doing his best. i was brought up great living section 8. social security's paying the rent ohohoh ooh. the landlord called she said you gotta go ooh. little one you just lost your oohooh. yeah. . . she was fivefoot four getting money on tour. but her socks were at the end of my bed. got our names tattooed on each other. just to prove to each other that we'd do what we said. only took a few days 'til our minds were made up. and we thought we should try it again. i was only seventeen when we first tried things. when she first made me feel like a man ohoh oohooh. . . who am i gonna call ooh. who's gonna catch me when i ooh. who's the one you're sleeping with ooh. . . well don't just sit in front of me and wait for me to talk. you can call me up phone works two ways you know. this time baby yeah i think that i'll be just fine. and i wish i could say the same for you. i yeah i do i hey. . . yeah yeah yeah. hey hey hey. yeah yeah yeah. ahah. ahah. ahah. . . . . to those of you in which i choose to always be the closest to. there's something that you need to know. loving me is not a joke. and you can put it all on me you can laugh and you can bleed. and i'll adopt it all because that's just what a buddy does. i loved you from minute one the iced tea to my lemonade. never one to hit and run soaking every minute made. you can give me all your juice i can squeeze it out for you. and all i ask you in exchange love me back through every phase. if it ever comes off wrong or leaves you with a bitter taste. just remember you're the tea. and i'm your sour lemonade i'm your sour lemonade. tropical iced tea and hot pink lemonade
309,Dear Mama,you are appreciated. . . when i was young me and my mama had beef. seventeen years old kicked out on the streets. though back at the time i never thought i'd see her face. ain't a woman alive that could take my mama's place. suspended from school and scared to go home. i was a fool with the big boys breakin' all the rules. i shed tears with my baby sister over the years. we was poorer than the other little kids. and even though we had different daddies the same drama. when things went wrong we'd blame mama. i reminisce on the stress i caused it was hell. huggin' on my mama from a jail cell. and who'd think in elementary hey. i'd see the penitentiary one day. and runnin' from the police that's right. mama catch me put a whoopin' to my backside. and even as a crack fiend mama. you always was a black queen mama. i finally understand. for a woman it ain't easy tryin' to raise a man. you always was committed. a poor single mother on welfare tell me how you did it. there's no way i can pay you back. but the plan is to show you that i understand. you are appreciated. . . lady don't you know we love ya dear mama. sweet lady place no one above ya you are appreciated. sweet lady don't you know we love ya. . . now ain't nobody tell us it was fair. no love for my daddy 'cause the coward wasn't there. he passed away and i didn't cry. 'cause my anger wouldn't let me feel for a stranger. they say i'm wrong and i'm heartless but all along. i was lookin' for a father he was gone. i hung around with the thugs and even though they sold drugs. they showed a young brother love. i moved out and started really hangin'. i needed money of my own so i started slangin'. i ain't guilty 'cause even though i sell rocks. it feels good puttin' money in your mailbox. i love payin' rent when the rent is due. i hope you got the diamond necklace that i sent to you. 'cause when i was low you was there for me. you never left me alone because you cared for me. and i could see you comin' home after work late. you're in the kitchen tryin' to fix us a hot plate. you just workin' with the scraps you was given. and mama made miracles every thanksgivin'. but now the road got rough you're alone. you're tryin' to raise two bad kids on your own. and there's no way i can pay you back. but my plan is to show you that i understand. you are appreciated. . . lady don't you know we love ya dear mama. sweet lady place no one above ya you are appreciated. sweet lady don't you know we love ya. . . pour out some liquor and i reminisce. 'cause through the drama i can always depend on my mama. and when it seems that i'm hopeless. you say the words that can get me back in focus. when i was sick as a little kid. to keep me happy there's no limit to the things you did. and all my childhood memories. are full of all the sweet things you did for me. and even though i act crazy. i gotta thank the lord that you made me. there are no words that can express how i feel. you never kept a secret always stayed real. and i appreciate how you raised me. and all the extra love that you gave me. i wish i could take the pain away. if you can make it through the night there's a brighter day. everything will be alright if you hold on. it's a struggle every day gotta roll on. and there's no way i can pay you back. but my plan is to show you that i understand. you are appreciated. . . lady don't you know we love ya dear mama. sweet lady place no one above ya you are appreciated. sweet lady don't you know we love ya dear mama. sweet lady lady dear mama. lady lady
310,Seventeen (Age),i'll always be age seventeen. wide eyed with limbs still shaking. at home alone the dial tone. drags on for hours on end. hey mom i'll take the van. we'll drive it up and down the road. without a plan. 'cause this is ending. . . don't take me back. it won't be the same. don't take me back. it won't be the same. . . we'll hit the spot. yeah in a parking lot. we've got all the space that we need. i'm wishing for a few more weeks. unlike the moon this is going down. hey man we'll hop the fence. you've got my back i've got the curse. and it's sinking in. yeah i'm sinking. . . . . hey dad i'm sleeping in. i'm dropping out when they step in. all alone again. and i'm done thinking. . . don't take me back. it won't be the same. don't take me back. i'll always be age seventeen. it won't be the same. . . i still can't tell if i'm speeding up man. i feel like there's no way for me. like the rhythms that i play
311,Made In Hollywood,turn off the lights come and lay with me. write your name on my hand just like we're seventeen. orange through the blinds the sun is almost down. it's just a matter of time until we run this town. . . young love. west coast. who cares. who knows. young love. west coast. who cares. who knows. . . keep it low key so we rep all black. wear our shades on our nose 'cause we're cool like that. drive to the beach kiss me nice and slow. michael jackson so loud on my radio. . . young love. west coast. who cares. who knows. young love. west coast. who cares. who knows. . . we'll dream about it. talk talk about it. won't live without it. made in hollywood. we'll dream about it. talk talk about it. won't live without it. made in hollywood. . . young love. west coast. who cares. who knows. young love. west coast. who cares. who knows. . . we'll dream about it. talk talk about it. won't live without it. made in hollywood. we'll dream about it. talk talk about it. won't live without it. made in hollywood
312,Evening Sun,they love you or they hate you but they will never let you be. they'll thrill you or sedate you but they will never let you see. . . in the evening sun. amber evening sun. . . encourage and derange you watch you walking scared alone. despite intimidation pleased to watch you dance alone. . . in the evening sun. amber evening sun. . . go your separate way now. someday you'll come back. and i'll be dreaming i was sunburned. i don't wanna break your heart in. break your heart in two halves. keep one half and give one half to me. i like the summer miss the summer. tell me what'd you do nothing me too. . . all actors they're pretending and singers they will sometimes lie. kids are always honest 'cause they don't think they're ever gonna die. oh you're the prettiest smartest captain of the team. i love you more than being seventeen. . . in the evening sun. amber evening sun. in the evening sun
313,The Bride & The Bachelor, you will want to know where i am now you know my dear. i was in the cherry tree when mother said to me. you are only seventeen you don't know what it means. so i climbed down and picked the cherries that fell to the ground. . i can't carry it alone. so i'll bury it like bones. . you are only seventeen you don't know what to fear. all we know is what we have to hold and call my dear. and i will want to know where you are if you're far or near. i don't know how loud i'll have to sing for you to hear. . if i can't marry you i'll go. on my chariot of gold. there is only this i know. i will die before i'm old
314,ripped jeans,ripped jeans she was my beauty queen mi reina. 17 she knows a lot of things me quieres. maybe one day ill be 17 un dia. maybe one day youll be next to me te necesito. . . i still play video games literally everyday todos los dias. while you're at portillos on a date drinking shakes con tu novio. i know you're 17 you got your life figured out te amo. im at the skatepark and i dont even skate es mi primera vez. . . ripped jeans she was my beauty queen hermosa. 17 she knows a lot of things ella sabe. maybe one day ill be 17 un dia. maybe one day youll be next to me ya verás. . . oh yea yea yea yea yea what a day thatll be perfecta. oh yea yea yea yea yea what a day thatll be loco por ti. oh yea yea yea yea yea what a day thatll be una vez mas. oh yea yea yea yea yea what a day thatll be te amo
315,The Way You Used to Do,when i first met her she was seventeen. seventeen. jump like an arsonist to a perfect match. burned alive. . . we run 'til no one could find us. girl we outrun everyone. . . but it doesn't matter now. just come and love me how. like the way you used to do. yeah. . . is love mental disease or lucky fever dream. fine with either. gave birth to monsters who will terrorize normalcy yeah. they'll terrorize. . . if the world exploded behind us. i never noticed if it done. let nobody dare confine us. i'll bury anyone who does. . . but it doesn't matter now. just come and love me how. like the way you used to do. . . now. the way you used to do. . . my heart a dingaling. a puppet on a string. c'est la vie. so lay your hands across my beating heart love. . . if the world exploded behind us. i never noticed if it done. let nobody dare confine us. i'll bury anyone who does. . . but it doesn't matter now. just come and love me how. like the way you used to do. . . used to do. like the way you used to do. come and love me now. like the way you used to do. like the way you used to do
316,T-Shirt Weather,. . she left me and said. baby won't you come to bed. but i cannot sleep. while the sun's awake. . . and the nights been so long. you dont get me right dont get me wrong. now my head tells the tales. i hardly know. . . i remember tshirt weather. i remember some days. we were singing our lungs out. in the backseat together. and the seatbelts were burning our fingers. in the tshirt weather. i remember sleeping to the early afternoon. . . drinks fly like birds. across the kitchen trouble stirs. i'm tongue tied by words. i used to know. . . so we talk 'til we're sick. 17 went far too quick. when my mind plays tricks. i have to go. . . i remember tshirt weather. i remember some days. we were singing our lungs out. in the backseat together. and the seatbelts were burning our fingers. in the tshirt weather. i remember sleeping to the early afternoon. . . it's gonna be okay. it's gonna be okay. it's gonna be okay. it's gonna be okay. it's gonna be okay. it's gonna be okay. . . i remember tshirt weather. i remember some days. we were singing our lungs out. in the backseat together. and the seatbelts. were burning our fingers. in the tshirt weather. . . in the tshirt weather. in the tshirt weather. yeah in the t shirt weather
317,Time Has Come Again,the time has come again. slowly walking down the steps. to where she would have been. if only they were seventeen. . . waiting patiently. and stood between a fraying seam. hiding from himself. as well as everybody else. . . without permission his face became wet. he thought that he'd learnt how to not get upset. from folded notes in envelopes. meet me beneath the moon don't go too soon. she went too soon. . . the time has come again. slowly walking down the steps. to where she would have been. if only they were seventeen
318,Endless,every day every day. every day every day like we endless. . . staring through the tv screen. reaching for a tray to ash. kendall in a limousine. bet you that she still gets sad. i've been in my memories. jealous of the life i had. back when i was seventeen. . always thought that i would end up like. someone from a movie where they clap at the end. 'cause everything had happened just according to plan. i've been chasing that shit like again and again and again. every day every day like we endless. . . do you ever wonder about. how come how come you can't figure it out. every day every day like we endless. every day every day like we endless. do you ever struggle to ask. i changed shit changed let's just leave it at that. every day every day like we endless. every day every day like we endless. . . and maybe it's the way when the sun goes down. and i catch myself in a spiral. out of control like the waves hit the shore. i'm still never sure if i'm fit for survival. it all falls down down down anyway anyway. . never thought that i would end up like. someone from a movie where they cry at the end. cause everybody knew it could have happened to them. they just keep on watching it again and again and again. every day every day like we endless. . . do you ever wonder about. how come how come you can't figure it out. every day every day like we endless. every day every day like we endless. do you ever struggle to ask. i changed shit changed let's just leave it at that. every day every day like we endless. every day every day like we endless. . . i tried. oh it seems so endless from the outside aahh. and i cry. oh it seems so endless on the inside ah ah ah. every day every day every day every day. every day every day every day every day like we endless. . . do you ever wonder about. how come how come you can't figure it out. every day every day like we endless. every day every day like we endless. do you ever struggle to ask. i changed shit changed let's just leave it at that. every day every day like we endless. every day every day like we endless
319,mars,she was only seventeen. had the saddest pair of eyes that you ever seen. wore them lips and a coat that was matching green. but she can't be herself when she's somebody else. in the morning she would take her mother's wedding ring. but school got pretty tough when they see it gleam. so she hid herself under the mezzanine. reenacting scenes yeah. . . she dreamed she'd go to california. there everyone would adore her. and all her mates will call her. 'til four in the morning. . . is there any life on mars. is there any life on mars. is there any life on mars. yeah yeah. . . every morning she would wake up with another plan. yeah her mum and dad they couldn't understand. why she couldn't turn it off become a better man. all this therapy eats away gently at the side of her mind. that she never had. yeah this story told too many times it makes me sad. i bet the author made a fortune out the autograph. give her the money back 'cause. . . she dreamed she'd go to california. there everyone would adore her. and all her mates will call her. 'til four in the morning. . . is there any life on mars. is there any life on mars. is there any life on mars. yeah yeah. is there any life on mars. is there any life on mars. is there any life on mars. yeah yeah. . . do you feel like you're irrelevant. do you feel like you're irrelevant. do you feel like you're just scared as fuck. do you feel like you're irrelevant. do you feel like you're irrelevant. do you feel like you're just scared as fuck. . . is there any life on mars. is there any life on mars. is there any life on mars. yeah yeah. is there any life on mars. is there any life on mars. is there any life on mars. yeah yeah. . is there any life on mars. is there any life on mars. is there any life on mars. is there any life on mars. is there any life on mars. is there any life on mars
320,Coffee & Cigarettes,coffee and cigarettes. remind me of you babe. you pick me up in your old buick station wagon. with the radio broke. i'd roll the window up. you turn the ac on. who knew you'd be so cold. newports burnin' on our lips. a shootout in the background as i told you that i love you. a gunshot to the heart couldn't have hit me as hard as you did. as hard as you did no. ash my cigarette. waitin' for your response it burns slowly as a spirit. who knew you'd be so bold. . . you were only 17. fallin' in love with everything. except for me except for me except for me. these cigarettes is burnin' like a dream. and all this money heals everything. except for me except for me except for me. . . we wrote our names beneath the . to be sure that the city never forgot us. who woulda known you'd be so quick to forget about me. i guess that's memory loss. i wish you loved me as much as weed. shit even half as much as weed. i know you love to smoke. marlboro 27s were your favorite. only thing you loved more was your little sister. i hope she never grows up to be as fucked up as you did. fucked up as you did oh. light my cigarette. like we did when we were young. who knew we'd grow so old. . . you were only 17. fallin' in love with everything. except for me except for me except for me. these cigarettes is burnin' like a dream. and all this money heals everything. except for me except for me except for me. . . i recently realized i'm a hopeless romantic. i ask a lot of questions but i'm not open to answers. and all of my girlfriends just fall into the same old patterns. like sudoku puzzles we cross words spoken in anger. i must be the best at turnin' the good girl crazy that's like my strong suit. 'cause every time we should be breakin' up i'm right there on cue. like a pool stick with some bullshit 'bout what i'm goin' through. you should have an amber alert for me i swear they should have warned you. i mean young rap god what do you expect from me. and women are like a greatest hits album they get the best of me. i give 'em my all and then forget to call the next morning. i used to play my tape in the passenger while she bend corners. she was only 17 first girl that broke my heart. now i think i take it out on every girl i take out on. dinner dates to somewhere nice to sit like rosa parks. guess that's just the way it is it all ends the way it starts. . . you were only 17. fallin' in love with everything. except for me except for me except for me. these cigarettes is burnin' like a dream. and all this money heals everything. except for me except for me except for me
321,Girl I Met On The Internet,we're the cool teens. we look good in id magazine. desperately trying to make life more exciting. you got the come out nows and the too shy gals. the prom queens and the foreign pen pals so. dad don't tell me what to do. i promise one day i'll make it up to you. and when mum asks where you been. i say please leave me alone i'm 17. . . i want someone i can call at 2am. while i've got that restless feeling again. just wanna jump the gates of a closed park. drink beer all night and have a laugh. i wanna have a cute chick on my arm. and make the boys swoon and the girls all gasp. and when my mum asks where we met. i'll say it's just this girl that i met on the internet. the internet the internet. she's just this girl that i met on the internet. the internet the internet. she's just this girl that i met on the internet. . . i feel all aggy and i wanna waste time. tryin' to fight the feeling that i wanna run and hide. i know school's a bore life feels like a chore. scared that you're boring 'cause you saw snapchats of you snoring. but crying doesn't help your problems. and bunking at the bus or the train won't solve them. i spend my whole life putting up with people's shit. because i need them. i love you but i'm seething i'm grieving heaving. it's easy to be cool if you're hot. wear too much makeup and be called a thot. posing with surgical masks. polaroid cameras and giving ourselves tasks. go grab that girls ass. touch it up and call it art. be polite don't burp or fart. i'm just a desperate bitch. a snitch with a cute chick itch. . . i want someone i can call at 2am. while i've got that restless feeling again. just wanna jump the gates of a closed park. drink beer all night and have a laugh. i wanna have a cute chick on my arm. and make the boys swoon and the girls all gasp. and when my mum asks where we met. i'll say it's just this girl that i met on the internet. the internet the internet. she's just this girl that i met on the internet. the internet the internet. she's just this girl that i met on the internet. . . it'll happen like it does in the shows. i'll like her eyes and she'll like my clothes. ask her for her digits and i'll start to sweat. she'll become the girl that i met on the internet. i bet she'll be a spice. forget butterflies she'll give me beehives. that couple in the corner i ought to warn her. she's gonna be the girl that i met on the internet. . . the internet the internet. she's just this girl that i met on the internet. the internet the internet. she's just this girl that i met on the internet
322,Oldest Teenager,everything is wrong. even though i do the right things. i feel so alone. always staring at my phone. my friends are pretty cool. and my mama says she loves me. everyday's the same i'm the one to blame. . . i'm the oldest teenager i know. the oldest seventeenyearold. she thinks she'll make it on her own. don't tell her where to go. . . seen a lot of things and i've been a lot of places. none of them are home. i'm always on my own. broke my heart again. do i even know what love is. why was i obsessed. he was such a mess. . . i'm the oldest teenager i know. the oldest seventeenyearold. she thinks she'll make it on her own. don't tell her where to go. . . maybe there's something better. than all i've ever known. something better. than the pictures in this phone. stories and faces. movies and places i'll never be. i wanna see if there's. something better. than all i've ever known. . . ohoh oh ohoh. . . everything is wrong. even though i do the right things. learning as i go. bear with me as i grow. there's so much on my mind. and it's weighing on me heavy. there's no way to know but all i need is. . . something better. than all i've ever known. something better. than the pictures in this phone. stories and faces. movies and places i'll never be. i wanna see if there's. something better. than all i've ever known. . . ohoh oh ohoh
323,Never Not,we were so beautiful. we were so tragic. no other magic could ever compare. lost myself seventeen. then you came found me. no other magic could ever compare. . . there's a room. in my heart with the memories we made. took 'em down but they're still in their frames. there's no way i could ever forget mmm. . . for as long as i live and as long as i love. i will never not think about you. you mmm. i will never not think about you. from the moment i loved i knew you were the one. and no matter what ii do ooh mmm. i will never not think about you. . . what we had only comes. once in a lifetime. for the rest of mine always compare. . . to the room. in my heart with the memories we made. nights on fifth inbetween b and a. there's no way i could ever forget mmm. . . for as long as i live and as long as i love. i will never not think about you. you mmm. i will never not think about you. from the moment i loved i knew you were the one. and no matter what ii do ooh mmm. i will never not think about you. . . didn't we have fun. didn't we have fun looking back. didn't we have fun. didn't we have fun. didn't we have fun. didn't we have fun looking back. didn't we have fun. didn't we have fun. . . we were so beautiful. we were so tragic. no other magic could ever compare
324,Seventeen Forever,you are young and so am i. and this is wrong but who am i to judge. you feel like heaven when we touch. i guess for me this is enough. . . we're one mistake from being together. but let's not ask why it's not right. you won't be seventeen forever. and we can get away with this tonight. . . you are young and i am scared. you're wise beyond your years but i don't care. and i can feel your heartbeat. you know exactly where to take me. . . we're one mistake from being together. but let's not ask why it's not right. you won't be seventeen forever. and we can get away with this tonight. . . will you remember me. you ask me as i leave. remember what i said. oh how could i oh how could i forget. . . we're one mistake from being together. but let's not ask why it's not right. you won't be seventeen forever. and we can get away with this tonight. we're one mistake from being together. but let's not ask why it's not right. you won't be seventeen forever. and we can get away with this tonight. we're one mistake from being together. but let's not ask why it's not right. you won't be seventeen forever. and we can get away with this tonight
325,Rewind,looking back on the old days. when i was seventeen and spiritual. i remember the steps how i carried myself. yeah i was everything original. it was me and my friends on the town. just singing our lungs out singing our lungs out. i wasnt told if i didnt hold tight. that my spirit could fade out. . . 'cause now im miserable. staring at my wall all day. sadly cynical. that none of this will ever change. they said get out of the house. drive a car down south to survive. id rather slam on the breaks. put a pause and a space in the time. oh then rewind then rewind. . . i envision my old ways. back when love was just habitual. i felt the freedom to really expressing myself. it was extreme and fully radical. but maybe growing up the challenge is managing clutter and hard hearts and bored. i think maybe im a victim of too much noise. . . 'cause now im miserable. staring at my wall all day. sadly cynical. that none of this will ever change. they said get out of the house. drive a car down south to survive survive survive survive. id rather slam on the breaks. put a pause and a space in the time. oh then rewind then rewind. oh then rewind then rewind. put a pause and a space in the time. then rewind then rewind then rewind
326,Leyla,you were only 17. looking at your window screen. sweetest girl i've ever seen. straight up from a project dream. you were on the second floor. i was right across from yours. two different sides of war. kinda like a west side story now. . . leyla i am in love with you leyla. i'm comin' up any day now day now. so bust that window and come with me. leyla get all your stuff and we'll break out. baby i know what to say now. but i want you anyway. . . but i want you anyway. but i want you anyway. . . now we've turned 23. you moved across town from me. our friends and family. wouldn't let us be happy. i hear your married now. hear it ain't working out. but they can't shut us down. leyla just tell me how and i'll be there. . . you are a goddess i want you to know oh oh oh oh. i'll never forget you i'll never let go. yeah i'll be coming to get ya. . . leyla i am in love with you leyla. i'm comin' up any day now day now. so bust that window and come with me. leyla get all your stuff and we'll break out. baby i know what to say now. but i want you anyway. . . but i want you anyway. but i want you anyway. . . you are a goddess i want you to know oh oh oh oh. i'll never forget you i'll never let go. yeah i'll be coming to get ya. . . leyla i am in love with you leyla. i'm comin' up any day now day now. so bust that window and come with me. leyla get all your stuff and we'll break out. baby i know what to say now. but i want you anyway. . . but i want you anyway. but i want you anyway. . . leyla i am in love with you leyla. i'm comin' up any day now day now. so bust that window and come with me. leyla get all your stuff and we'll break out. baby i know what to say now. but i want you anyway
327,Something Like That,it was labor day weekend i was seventeen. i bought a coke and some gasoline. and i drove out to the county fair. when i saw her for the first time. she was standing there in the ticket line. and it all started right then and there. oh a sailors sky made a perfect sunset. and that's the day i'll never forget. . . i had a barbeque stain on my white tee shirt. she was killing me in that miniskirt. skipping rocks on the river by the railroad tracks. she had a suntan line and red lipstick. i worked so hard for that first kiss. and a heart don't forget something like that. . . well it was five years later on a southbound plane. i was headed down to new orleans. to meet some friends of mine for mardi gras. when i heard a voice from the past. coming from a few rows back. and when i looked i couldn't believe just what i saw. she said i bet you don't remember me. and i said only every other memory. . . i had a barbeque stain on my white tee shirt. she was killing me in that miniskirt. skipping rocks on the river by the railroad tracks. you had a suntan line and red lipstick. i worked so hard for that first kiss. and a heart don't forget something like that. . . like an old photograph. time can make a feeling fade. but the memory of a first love. never fades away. . . i had a barbecue stain on my white tee shirt. she was killing me in that miniskirt. skipping rocks on the river by the railroad tracks. she had a sun tan line and red lipstick. i worked so hard for that first kiss. a heart dont forget no a heart dont forget. i said a heart dont forget something like that. oh not something like that
328,May I Ask,may i ask you how you've been. would i have the words to say. i've forgotten how to feel. how to call you by your name. . barely recognize you now. all your words have turned to stone. you've forgotten all my songs. you've forgotten all my love. . . don't you know you make me nervous still. you pull my thoughts apart. though i've been tryna get you off my mind. give me time cause it still burns my lips. to say your name out loud my love. . . and by now your smile has changed. you don't look at me the same. it's naive of me to think. that one day you'll miss my name. . . promises you said you'd keep. empty lines between the scenes. was it wrong for me to trust. i'm still only 17. . . don't you know you make me nervous still. you pull my thoughts apart. though i've been tryna get you off my mind. give me time cause it still burns my lips. to say your name out loud my love. . . it's just my natural reaction to you. making me feel like i lost sanity. and i can't help but to miss you. though i know there's never a chance. . . don't you know you make me nervous still. you pull my thoughts apart. though i've been tryna get you off my mind. give me time cause it still burns my lips. to say your name out loud my love
329,Ice Cream Man.,so this producer hit me up on the dm. he told me hey i really like what you are doing. he told me come 'round to the studio let's cook it. he told me come to catch a vibe and make some music. but when i got there should've heard what he was saying. tryna touch me tryna fuck me i'm not playing. i should have left that place as soon as i walked in it. how goddamn dare you do that to me really. . . coming like the ice cream man. till i felt his icecold hands. and how i pay the pricе now damn. goddamn no what the goddamn. everything you did it left mе in a ruin. and no i didn't say a word i guess that proves it. i'm a woman oh yes. . . 'cause i'm a woman. i'm a very fucking brave strong woman. and i'll be damned if i let a man ruin. how i walk how i talk how i do it. man i've been broken for a moment. i've been through it no. it's even harder to be brave alone. i was a girl now i'm grown i'm a woman. a very fucking strong woman. . . and i was seven. was twenty one was seventeen and was eleven. it took a while to understand what my consent means. if i was ruthless they'd be in the penitentiary. but all the stress of being honest wouldn't help me. i pushed it down but it was livin' in me rentfree. and then i fell into some things that were unhealthy. a place where no one heard me asking them to help me help me help me. . . coming like the ice cream man. till i felt his icecold hands. and how i pay the price now damn. goddamn. everything you did it left me in a ruin. and no i didn't say a word i guess that proves it. i'm a woman. . . 'cause i'm a woman. i'm a very fucking brave strong woman. and i'll be damned if i let a man ruin. how i walk how i talk how i do it. man i've been broken for a moment. i've been through it no. it's even harder to be brave alone. i was a girl now i'm grown i'm a woman. a very fucking strong woman mmm. . . i wish i could say how i feel how i felt. and explain why i'm silently blaming myself. 'cause i put on these faces pretending i'm fine. then i go to the bathroom and i press rewind in my head. always going round and round in my head. your fingerprints stuck a stain on my skin. you made me frame myself for your sin. you pathetic dead excuse of a man. . . ooh ooh. i'm a brave strong woman. oh yeah yeah oh oh oh. and i'll be damned if i let a man ruin oh. i'm a very fucking brave strong woman yeah
330,This Year,i broke free on a saturday morning. i put the pedal to the floor. headed north on mills avenue. and listened to the engine roar. . . my broken house behind me and good things ahead. a girl named cathy wants a little of my time. six cylinders underneath the hood crashing and kicking. ahaha listen to the engine whine. . . i am going to make it through this year if it kills me. i am going to make it through this year if it kills me. . . i played video games in a drunken haze. i was seventeen years young. hurt my knuckles punching the machines. the taste of scotch rich on my tongue. . . and then cathy showed up and we hung out. trading swigs from a bottle all bitter and clean. locking eyes holding hands. twin highmaintenance machines. . . i am going to make it through this year if it kills me. i am going to make it through this year if it kills me. . . i drove home in the california dusk. i could feel the alcohol inside of me hum. pictured the look on my stepfather's face. ready for the bad things to come. i downshifted as i pulled into the driveway. the motor screaming out stuck in second gear. the scene ends badly as you might imagine. in a cavalcade of anger and fear. there will be feasting and dancing in jerusalem next year. . . i am going to make it through this year if it kills me. i am going to make it through this year if it kills me
331,Losing Touch,no goodbye. leave the state. guess it doesn't really matter. i looked everywhere for an answer why. knew your mom. you knew mine. we did stupid shit on the weekends. and i still don't know what i did wrong. . . last night i had a dream. that we were seventeen and still on speaking terms. but i guess i never learn. . . i don't wanna. i don't wanna call you up and i. i don't wanna miss you so much but i. i didn't see us losing touch. i don't wanna. i don't wanna keep you up and i. i don't wanna need you so much 'cause i. i didn't see us losing touch. . . grew too fast. no hello. when's the last time that i mattered. 'cause i took your lеad and forgot the past. i forgot that you even еxist. or i tried. guess i slipped. 'cause i'm thinking 'bout it lately. so you're creeping back into my mind. . . last night i had a dream. that we were seventeen and still on speaking terms. yeah its one more  i burned. . . i don't wanna. i don't wanna call you up and i. i don't wanna miss you so much but i. i didn't see us losing touch. i don't wanna. i don't wanna keep you up and i. i don't wanna need you so much 'cause i. i didn't see us losing touch. . . last night i had a dream. that we were seventeen and still on speaking terms. yeah it's one more  i burned. last night i had a dream. that it was new year's eve and we were singing blur. but i guess i never learn yeah. . . i don't wanna. i don't wanna call you up and i. i don't wanna miss you so much but i. i didn't see us losing touch. i don't wanna. i don't wanna keep you up and i. i don't wanna need you so much 'cause i. i didn't see us losing touch. . . i didn't see us losing touch. i didn't see us losing touch
